Format,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10w,player_name,player_country,batsman_bowling_style,batsman_playing_role
ODIs,70,68,3248,2937,95,5/28,5/28,30.91,5.42,34.1,4,2,0,Taskin Ahmed Career Stats,Bangladesh,Left hand Bat,Right arm Fast
T20Is,54,52,1096,1411,52,4/16,4/16,27.13,7.72,21.0,2,0,0,Taskin Ahmed Career Stats,Bangladesh,Left hand Bat,Right arm Fast
FC,35,65,5786,3437,101,5/54,7/108,34.02,3.56,57.2,7,2,0,Taskin Ahmed Career Stats,Bangladesh,Left hand Bat,Right arm Fast
List A,118,116,5309,4751,171,5/28,5/28,27.78,5.36,31.0,7,2,0,Taskin Ahmed Career Stats,Bangladesh,Left hand Bat,Right arm Fast
T20s,137,133,2785,3717,158,5/31,5/31,23.52,8.0,17.6,7,1,0,Taskin Ahmed Career Stats,Bangladesh,Left hand Bat,Right arm Fast
ODIs,15,14,727,550,12,3/19,3/19,45.83,4.53,60.5,0,0,0,Nasum Ahmed Career Stats,Bangladesh,Slow Left arm Orthodox,Bowler
T20Is,35,34,645,787,34,4/10,4/10,23.14,7.32,18.9,3,0,0,Nasum Ahmed Career Stats,Bangladesh,Slow Left arm Orthodox,Bowler
FC,32,62,7431,3833,137,7/43,12/113,27.97,3.09,54.2,6,10,2,Nasum Ahmed Career Stats,Bangladesh,Slow Left arm Orthodox,Bowler
List A,79,78,3974,2945,98,5/49,5/49,30.05,4.44,40.5,3,1,0,Nasum Ahmed Career Stats,Bangladesh,Slow Left arm Orthodox,Bowler
T20s,102,100,2008,2234,81,4/10,4/10,27.58,6.67,24.7,3,0,0,Nasum Ahmed Career Stats,Bangladesh,Slow Left arm Orthodox,Bowler
Tests,15,25,2145,1139,31,4/37,5/66,36.74,3.18,69.1,2,0,0,Mustafizur Rahman Career Stats,Bangladesh,Left arm Fast medium,Bowler
ODIs,103,102,4949,4268,162,6/43,6/43,26.34,5.17,30.5,5,5,0,Mustafizur Rahman Career Stats,Bangladesh,Left arm Fast medium,Bowler
T20Is,85,84,1816,2294,103,5/22,5/22,22.27,7.57,17.6,3,1,0,Mustafizur Rahman Career Stats,Bangladesh,Left arm Fast medium,Bowler
FC,36,63,5159,2465,92,5/28,6/33,26.79,2.86,56.0,8,1,0,Mustafizur Rahman Career Stats,Bangladesh,Left arm Fast medium,Bowler
List A,114,113,5505,4634,186,6/43,6/43,24.91,5.05,29.5,6,6,0,Mustafizur Rahman Career Stats,Bangladesh,Left arm Fast medium,Bowler
T20s,224,222,4859,5938,276,5/22,5/22,21.51,7.33,17.6,5,3,0,Mustafizur Rahman Career Stats,Bangladesh,Left arm Fast medium,Bowler
ODIs,22,-,-,-,-,-,-,-,-,-,-,-,-,Stephan Myburgh Career Stats,Netherlands,Right arm Offbreak,Opening Batter
T20Is,45,-,-,-,-,-,-,-,-,-,-,-,-,Stephan Myburgh Career Stats,Netherlands,Right arm Offbreak,Opening Batter
FC,23,4,60,42,0,-,-,-,4.20,-,0,0,0,Stephan Myburgh Career Stats,Netherlands,Right arm Offbreak,Opening Batter
List A,97,4,76,55,2,2/30,2/30,27.50,4.34,38.0,0,0,0,Stephan Myburgh Career Stats,Netherlands,Right arm Offbreak,Opening Batter
T20s,66,1,6,12,0,-,-,-,12.00,-,0,0,0,Stephan Myburgh Career Stats,Netherlands,Right arm Offbreak,Opening Batter
ODIs,42,3,43,39,0,-,-,-,5.44,-,0,0,0,Max O'Dowd Career Stats,Netherlands,Right arm Offbreak,Opening Batter
T20Is,58,9,76,119,3,1/7,1/7,39.66,9.39,25.3,0,0,0,Max O'Dowd Career Stats,Netherlands,Right arm Offbreak,Opening Batter
FC,5,9,444,321,6,2/26,3/32,53.50,4.33,74.0,0,0,0,Max O'Dowd Career Stats,Netherlands,Right arm Offbreak,Opening Batter
List A,56,9,205,188,3,1/23,1/23,62.66,5.5,68.3,0,0,0,Max O'Dowd Career Stats,Netherlands,Right arm Offbreak,Opening Batter
T20s,73,10,88,135,3,1/7,1/7,45.00,9.2,29.3,0,0,0,Max O'Dowd Career Stats,Netherlands,Right arm Offbreak,Opening Batter
ODIs,32,23,649,516,14,3/11,3/11,36.85,4.77,46.3,0,0,0,Tom Cooper Career Stats,Netherlands,Right hand Bat,Right arm Offbreak
T20Is,33,11,114,145,3,2/18,2/18,48.33,7.63,38.0,0,0,0,Tom Cooper Career Stats,Netherlands,Right hand Bat,Right arm Offbreak
FC,109,50,2098,1266,25,5/76,5/76,50.64,3.62,83.9,0,1,0,Tom Cooper Career Stats,Netherlands,Right hand Bat,Right arm Offbreak
List A,169,53,1200,1058,26,3/11,3/11,40.69,5.29,46.1,0,0,0,Tom Cooper Career Stats,Netherlands,Right hand Bat,Right arm Offbreak
T20s,172,47,504,610,21,2/7,2/7,29.04,7.26,24.0,0,0,0,Tom Cooper Career Stats,Netherlands,Right hand Bat,Right arm Offbreak
ODIs,16,16,548,451,9,2/39,2/39,50.11,4.93,60.8,0,0,0,Colin Ackermann Career Stats,Netherlands,Right hand Bat,Right arm Offbreak
T20Is,22,14,210,216,7,1/6,1/6,30.85,6.17,30.0,0,0,0,Colin Ackermann Career Stats,Netherlands,Right hand Bat,Right arm Offbreak
FC,164,142,6986,3835,82,5/69,6/99,46.76,3.29,85.1,0,1,0,Colin Ackermann Career Stats,Netherlands,Right hand Bat,Right arm Offbreak
List A,107,78,2889,2354,56,4/48,4/48,42.03,4.88,51.5,1,0,0,Colin Ackermann Career Stats,Netherlands,Right hand Bat,Right arm Offbreak
T20s,180,125,1929,2345,80,7/18,7/18,29.31,7.29,24.1,0,1,0,Colin Ackermann Career Stats,Netherlands,Right hand Bat,Right arm Offbreak
ODIs,39,31,1179,1257,40,5/52,5/52,31.42,6.39,29.4,1,1,0,Bas de Leede Career Stats,Netherlands,Right arm Fast medium,Batting Allrounder
T20Is,31,22,336,449,27,3/19,3/19,16.62,8.01,12.4,0,0,0,Bas de Leede Career Stats,Netherlands,Right arm Fast medium,Batting Allrounder
FC,7,10,684,494,17,4/76,6/135,29.05,4.33,40.2,1,0,0,Bas de Leede Career Stats,Netherlands,Right arm Fast medium,Batting Allrounder
List A,48,36,1327,1453,43,5/52,5/52,33.79,6.56,30.8,1,1,0,Bas de Leede Career Stats,Netherlands,Right arm Fast medium,Batting Allrounder
T20s,41,30,462,686,33,3/19,3/19,20.78,8.9,14.0,0,0,0,Bas de Leede Career Stats,Netherlands,Right arm Fast medium,Batting Allrounder
ODIs,47,-,-,-,-,-,-,-,-,-,-,-,-,Scott Edwards Career Stats,Netherlands,Wicketkeeper,Wicketkeeper Batter
T20Is,51,-,-,-,-,-,-,-,-,-,-,-,-,Scott Edwards Career Stats,Netherlands,Wicketkeeper,Wicketkeeper Batter
FC,1,-,-,-,-,-,-,-,-,-,-,-,-,Scott Edwards Career Stats,Netherlands,Wicketkeeper,Wicketkeeper Batter
List A,57,-,-,-,-,-,-,-,-,-,-,-,-,Scott Edwards Career Stats,Netherlands,Wicketkeeper,Wicketkeeper Batter
T20s,52,-,-,-,-,-,-,-,-,-,-,-,-,Scott Edwards Career Stats,Netherlands,Wicketkeeper,Wicketkeeper Batter
Tests,9,-,-,-,-,-,-,-,-,-,-,-,-,Pathum Nissanka Career Stats,Lanka,Top order Batter,"Isipathana College, Colombo"
ODIs,49,-,-,-,-,-,-,-,-,-,-,-,-,Pathum Nissanka Career Stats,Lanka,Top order Batter,"Isipathana College, Colombo"
T20Is,42,-,-,-,-,-,-,-,-,-,-,-,-,Pathum Nissanka Career Stats,Lanka,Top order Batter,"Isipathana College, Colombo"
FC,42,-,-,-,-,-,-,-,-,-,-,-,-,Pathum Nissanka Career Stats,Lanka,Top order Batter,"Isipathana College, Colombo"
List A,90,1,18,14,0,-,-,-,4.66,-,0,0,0,Pathum Nissanka Career Stats,Lanka,Top order Batter,"Isipathana College, Colombo"
T20s,90,-,-,-,-,-,-,-,-,-,-,-,-,Pathum Nissanka Career Stats,Lanka,Top order Batter,"Isipathana College, Colombo"
Tests,60,9,132,118,1,1/10,1/18,118.00,5.36,132.0,0,0,0,Kusal Mendis Career Stats,Lanka,Legbreak,Wicketkeeper
ODIs,121,2,20,28,0,-,-,-,8.40,-,0,0,0,Kusal Mendis Career Stats,Lanka,Legbreak,Wicketkeeper
T20Is,55,-,-,-,-,-,-,-,-,-,-,-,-,Kusal Mendis Career Stats,Lanka,Legbreak,Wicketkeeper
FC,93,18,266,228,2,1/10,1/14,114.00,5.14,133.0,0,0,0,Kusal Mendis Career Stats,Lanka,Legbreak,Wicketkeeper
List A,155,4,33,35,2,2/3,2/3,17.50,6.36,16.5,0,0,0,Kusal Mendis Career Stats,Lanka,Legbreak,Wicketkeeper
T20s,126,1,1,0,0,-,-,-,-,-,0,0,0,Kusal Mendis Career Stats,Lanka,Legbreak,Wicketkeeper
Tests,51,76,3525,1948,34,3/25,5/51,57.29,3.31,103.6,0,0,0,Dhananjaya de Silva Career Stats,Lanka,Right arm Offbreak,Allrounder
ODIs,90,75,2250,1907,44,3/32,3/32,43.34,5.08,51.1,0,0,0,Dhananjaya de Silva Career Stats,Lanka,Right arm Offbreak,Allrounder
T20Is,39,22,263,313,13,2/22,2/22,24.07,7.14,20.2,0,0,0,Dhananjaya de Silva Career Stats,Lanka,Right arm Offbreak,Allrounder
FC,120,158,8385,4483,146,7/59,12/109,30.7,3.2,57.4,3,5,1,Dhananjaya de Silva Career Stats,Lanka,Right arm Offbreak,Allrounder
List A,146,118,3501,2898,79,4/27,4/27,36.68,4.96,44.3,1,0,0,Dhananjaya de Silva Career Stats,Lanka,Right arm Offbreak,Allrounder
T20s,114,72,1020,1224,47,4/6,4/6,26.04,7.2,21.7,1,0,0,Dhananjaya de Silva Career Stats,Lanka,Right arm Offbreak,Allrounder
Tests,3,2,25,16,0,-,-,-,3.84,-,0,0,0,Charith Asalanka Career Stats,Lanka,Right arm Offbreak,Batting Allrounder
ODIs,50,9,145,111,5,4/18,4/18,22.20,4.59,29.0,1,0,0,Charith Asalanka Career Stats,Lanka,Right arm Offbreak,Batting Allrounder
T20Is,37,4,31,30,0,-,-,-,5.8,-,0,0,0,Charith Asalanka Career Stats,Lanka,Right arm Offbreak,Batting Allrounder
FC,44,48,2084,1246,30,4/104,5/167,41.53,3.58,69.4,1,0,0,Charith Asalanka Career Stats,Lanka,Right arm Offbreak,Batting Allrounder
List A,108,44,1377,979,44,4/18,4/18,22.25,4.26,31.2,3,0,0,Charith Asalanka Career Stats,Lanka,Right arm Offbreak,Batting Allrounder
T20s,98,30,380,434,19,4/14,4/14,22.84,6.85,20.0,1,0,0,Charith Asalanka Career Stats,Lanka,Right arm Offbreak,Batting Allrounder
ODIs,5,-,-,-,-,-,-,-,-,-,-,-,-,Bhanuka Rajapaksa Career Stats,Lanka,Right arm Medium,Top order Batter
T20Is,37,-,-,-,-,-,-,-,-,-,-,-,-,Bhanuka Rajapaksa Career Stats,Lanka,Right arm Medium,Top order Batter
FC,80,69,2544,1401,47,4/59,6/86,29.80,3.30,54.1,1,0,0,Bhanuka Rajapaksa Career Stats,Lanka,Right arm Medium,Top order Batter
List A,123,30,627,485,15,2/16,2/16,32.33,4.64,41.8,0,0,0,Bhanuka Rajapaksa Career Stats,Lanka,Right arm Medium,Top order Batter
T20s,173,26,420,516,28,3/11,3/11,18.42,7.37,15.0,0,0,0,Bhanuka Rajapaksa Career Stats,Lanka,Right arm Medium,Top order Batter
Tests,6,8,762,431,13,3/46,5/112,33.15,3.39,58.6,0,0,0,Dasun Shanaka Career Stats,Lanka,Right arm Medium,Allrounder
ODIs,69,45,1032,985,27,5/43,5/43,36.48,5.72,38.2,0,1,0,Dasun Shanaka Career Stats,Lanka,Right arm Medium,Allrounder
T20Is,88,41,397,538,25,3/16,3/16,21.52,8.13,15.8,0,0,0,Dasun Shanaka Career Stats,Lanka,Right arm Medium,Allrounder
FC,68,77,3807,2332,70,6/69,8/84,33.31,3.67,54.3,0,1,0,Dasun Shanaka Career Stats,Lanka,Right arm Medium,Allrounder
List A,165,101,2611,2345,79,5/43,5/43,29.68,5.38,33.0,0,1,0,Dasun Shanaka Career Stats,Lanka,Right arm Medium,Allrounder
T20s,196,100,1161,1706,63,3/6,3/6,27.07,8.81,18.4,0,0,0,Dasun Shanaka Career Stats,Lanka,Right arm Medium,Allrounder
Tests,4,7,674,403,4,4/171,4/171,100.75,3.58,168.5,1,0,0,Wanindu Hasaranga Career Stats,Lanka,Legbreak,Allrounder
ODIs,48,47,2279,1928,67,6/24,6/24,28.77,5.07,34.0,1,3,0,Wanindu Hasaranga Career Stats,Lanka,Legbreak,Allrounder
T20Is,58,56,1252,1438,91,4/9,4/9,15.8,6.89,13.7,2,0,0,Wanindu Hasaranga Career Stats,Lanka,Legbreak,Allrounder
FC,44,73,4901,2822,102,8/26,10/143,27.66,3.45,48.0,5,7,1,Wanindu Hasaranga Career Stats,Lanka,Legbreak,Allrounder
List A,91,83,3903,3088,131,6/24,6/24,23.57,4.74,29.7,6,6,0,Wanindu Hasaranga Career Stats,Lanka,Legbreak,Allrounder
T20s,157,151,3231,3670,216,6/9,6/9,16.99,6.81,14.9,5,3,0,Wanindu Hasaranga Career Stats,Lanka,Legbreak,Allrounder
Tests,1,2,156,148,1,1/130,1/148,148.0,5.69,156.0,0,0,0,Chamika Karunaratne Career Stats,Lanka,Right arm Medium fast,Bowling Allrounder
ODIs,26,23,797,765,24,4/43,4/43,31.87,5.75,33.2,1,0,0,Chamika Karunaratne Career Stats,Lanka,Right arm Medium fast,Bowling Allrounder
T20Is,42,39,683,953,24,2/22,2/22,39.7,8.37,28.4,0,0,0,Chamika Karunaratne Career Stats,Lanka,Right arm Medium fast,Bowling Allrounder
FC,41,61,4010,2734,77,5/63,6/75,35.5,4.09,52.0,5,1,0,Chamika Karunaratne Career Stats,Lanka,Right arm Medium fast,Bowling Allrounder
List A,93,78,2793,2589,107,5/36,5/36,24.19,5.56,26.1,5,1,0,Chamika Karunaratne Career Stats,Lanka,Right arm Medium fast,Bowling Allrounder
T20s,101,87,1479,2089,64,4/11,4/11,32.64,8.47,23.1,2,0,0,Chamika Karunaratne Career Stats,Lanka,Right arm Medium fast,Bowling Allrounder
Tests,2,4,365,188,5,2/28,3/76,37.6,3.09,73.0,0,0,0,Maheesh Theekshana Career Stats,Lanka,Right arm Offbreak,Bowler
ODIs,35,35,1803,1414,50,4/25,4/25,28.28,4.7,36.0,4,0,0,Maheesh Theekshana Career Stats,Lanka,Right arm Offbreak,Bowler
T20Is,38,38,877,974,34,3/17,3/17,28.64,6.66,25.7,0,0,0,Maheesh Theekshana Career Stats,Lanka,Right arm Offbreak,Bowler
FC,5,7,779,422,13,5/76,5/76,32.46,3.25,59.9,0,1,0,Maheesh Theekshana Career Stats,Lanka,Right arm Offbreak,Bowler
List A,56,56,2755,2038,76,4/25,4/25,26.81,4.43,36.2,5,0,0,Maheesh Theekshana Career Stats,Lanka,Right arm Offbreak,Bowler
T20s,124,123,2815,3113,127,4/25,4/25,24.51,6.63,22.1,2,0,0,Maheesh Theekshana Career Stats,Lanka,Right arm Offbreak,Bowler
Tests,110,19,342,269,4,2/45,2/45,67.25,4.71,85.5,0,0,0,David Warner Career Stats,Australia,Left hand Bat,Legbreak
ODIs,161,1,6,8,0,-,-,-,8.00,-,0,0,0,David Warner Career Stats,Australia,Left hand Bat,Legbreak
T20Is,99,-,-,-,-,-,-,-,-,-,-,-,-,David Warner Career Stats,Australia,Left hand Bat,Legbreak
FC,141,34,595,455,6,2/45,2/45,75.83,4.58,99.1,0,0,0,David Warner Career Stats,Australia,Left hand Bat,Legbreak
List A,210,8,144,158,4,1/11,1/11,39.50,6.58,36.0,0,0,0,David Warner Career Stats,Australia,Left hand Bat,Legbreak
T20s,356,2,7,15,0,-,-,-,12.85,-,0,0,0,David Warner Career Stats,Australia,Left hand Bat,Legbreak
Tests,24,37,1938,1081,30,5/27,5/27,36.03,3.34,64.6,0,1,0,Cameron Green Career Stats,Australia,Right arm Fast medium,Batting Allrounder
ODIs,23,21,688,656,16,5/33,5/33,41.0,5.72,43.0,0,1,0,Cameron Green Career Stats,Australia,Right arm Fast medium,Batting Allrounder
T20Is,8,7,120,178,5,2/16,2/16,35.6,8.9,24.0,0,0,0,Cameron Green Career Stats,Australia,Right arm Fast medium,Batting Allrounder
FC,56,77,4364,2335,70,6/30,9/42,33.35,3.21,62.3,0,3,0,Cameron Green Career Stats,Australia,Right arm Fast medium,Batting Allrounder
List A,43,37,1250,1193,26,5/33,5/33,45.88,5.72,48.0,0,1,0,Cameron Green Career Stats,Australia,Right arm Fast medium,Batting Allrounder
T20s,37,24,360,560,11,2/16,2/16,50.9,9.33,32.7,0,0,0,Cameron Green Career Stats,Australia,Right arm Fast medium,Batting Allrounder
Tests,36,60,3111,1824,46,5/46,7/86,39.65,3.51,67.6,1,1,0,Mitchell Marsh Career Stats,Australia,Right arm Medium,Allrounder
ODIs,89,69,2189,2009,56,5/33,5/33,35.87,5.5,39.0,1,1,0,Mitchell Marsh Career Stats,Australia,Right arm Medium,Allrounder
T20Is,49,23,264,348,15,3/24,3/24,23.2,7.9,17.6,0,0,0,Mitchell Marsh Career Stats,Australia,Right arm Medium,Allrounder
FC,109,148,9053,5168,166,6/84,9/156,31.13,3.42,54.5,7,2,0,Mitchell Marsh Career Stats,Australia,Right arm Medium,Allrounder
List A,150,107,3671,3299,105,5/33,5/33,31.41,5.39,34.9,3,2,0,Mitchell Marsh Career Stats,Australia,Right arm Medium,Allrounder
T20s,167,104,1471,2047,82,4/6,4/6,24.96,8.34,17.9,3,0,0,Mitchell Marsh Career Stats,Australia,Right arm Medium,Allrounder
Tests,103,62,1470,1008,19,3/18,4/83,53.05,4.11,77.3,0,0,0,Steven Smith Career Stats,Australia,Right hand Bat,Legbreak Googly
ODIs,155,40,1076,971,28,3/16,3/16,34.67,5.41,38.4,0,0,0,Steven Smith Career Stats,Australia,Right hand Bat,Legbreak Googly
T20Is,65,17,291,377,17,3/20,3/20,22.17,7.77,17.1,0,0,0,Steven Smith Career Stats,Australia,Right hand Bat,Legbreak Googly
FC,165,132,5365,3719,72,7/64,8/169,51.65,4.15,74.5,2,1,0,Steven Smith Career Stats,Australia,Right hand Bat,Legbreak Googly
List A,204,69,2030,1840,47,3/16,3/16,39.14,5.43,43.1,0,0,0,Steven Smith Career Stats,Australia,Right hand Bat,Legbreak Googly
T20s,243,52,824,1056,54,4/13,4/13,19.55,7.68,15.2,2,0,0,Steven Smith Career Stats,Australia,Right hand Bat,Legbreak Googly
ODIs,70,63,2053,2059,48,3/16,3/16,42.89,6.01,42.7,0,0,0,Marcus Stoinis Career Stats,Australia,Right arm Medium,Batting Allrounder
T20Is,57,33,506,734,24,3/18,3/18,30.58,8.7,21.0,0,0,0,Marcus Stoinis Career Stats,Australia,Right arm Medium,Batting Allrounder
FC,63,86,5086,2750,68,4/73,7/145,40.44,3.24,74.7,2,0,0,Marcus Stoinis Career Stats,Australia,Right arm Medium,Batting Allrounder
List A,122,102,3405,3211,87,4/43,4/43,36.9,5.65,39.1,2,0,0,Marcus Stoinis Career Stats,Australia,Right arm Medium,Batting Allrounder
T20s,243,140,1975,2976,107,4/15,4/15,27.81,9.04,18.4,3,0,0,Marcus Stoinis Career Stats,Australia,Right arm Medium,Batting Allrounder
Tests,7,9,462,341,8,4/127,4/127,42.62,4.42,57.7,1,0,0,Glenn Maxwell Career Stats,Australia,Right arm Offbreak,Batting Allrounder
ODIs,138,110,3719,3384,70,4/40,4/40,48.34,5.45,53.1,4,0,0,Glenn Maxwell Career Stats,Australia,Right arm Offbreak,Batting Allrounder
T20Is,100,68,883,1144,39,3/10,3/10,29.33,7.77,22.6,0,0,0,Glenn Maxwell Career Stats,Australia,Right arm Offbreak,Batting Allrounder
FC,69,100,5824,3236,78,5/40,6/76,41.48,3.33,74.6,3,1,0,Glenn Maxwell Career Stats,Australia,Right arm Offbreak,Batting Allrounder
List A,213,165,5610,5049,115,4/40,4/40,43.9,5.4,48.7,4,0,0,Glenn Maxwell Career Stats,Australia,Right arm Offbreak,Batting Allrounder
T20s,409,275,3612,4686,147,3/10,3/10,31.87,7.78,24.5,0,0,0,Glenn Maxwell Career Stats,Australia,Right arm Offbreak,Batting Allrounder
Tests,36,4,30,28,0,-,-,-,5.60,-,0,0,0,Matthew Wade Career Stats,Australia,Left hand Bat,Right arm Medium
ODIs,97,-,-,-,-,-,-,-,-,-,-,-,-,Matthew Wade Career Stats,Australia,Left hand Bat,Right arm Medium
T20Is,80,-,-,-,-,-,-,-,-,-,-,-,-,Matthew Wade Career Stats,Australia,Left hand Bat,Right arm Medium
FC,163,26,520,354,8,3/13,3/13,44.25,4.08,65.0,0,0,0,Matthew Wade Career Stats,Australia,Left hand Bat,Right arm Medium
List A,184,-,-,-,-,-,-,-,-,-,-,-,-,Matthew Wade Career Stats,Australia,Left hand Bat,Right arm Medium
T20s,246,-,-,-,-,-,-,-,-,-,-,-,-,Matthew Wade Career Stats,Australia,Left hand Bat,Right arm Medium
Tests,56,103,11552,5530,242,6/23,10/62,22.85,2.87,47.7,14,9,1,Pat Cummins Career Stats,Australia,Right hand Bat,Right arm Fast
ODIs,88,88,4583,4042,141,5/70,5/70,28.66,5.29,32.5,6,1,0,Pat Cummins Career Stats,Australia,Right hand Bat,Right arm Fast
T20Is,50,50,1098,1350,55,3/15,3/15,24.54,7.37,19.9,0,0,0,Pat Cummins Career Stats,Australia,Right hand Bat,Right arm Fast
FC,70,128,14154,6784,288,6/23,10/62,23.55,2.87,49.1,17,9,1,Pat Cummins Career Stats,Australia,Right hand Bat,Right arm Fast
List A,113,113,5865,5108,180,5/70,5/70,28.37,5.22,32.5,8,1,0,Pat Cummins Career Stats,Australia,Right hand Bat,Right arm Fast
T20s,128,128,2868,3815,143,4/16,4/16,26.67,7.98,20.0,3,0,0,Pat Cummins Career Stats,Australia,Right hand Bat,Right arm Fast
ODIs,25,25,1312,1240,39,5/68,5/68,31.79,5.67,33.6,0,1,0,Kane Richardson Career Stats,Australia,Right arm Fast medium,Bowler
T20Is,36,36,756,1059,45,4/30,4/30,23.53,8.4,16.8,1,0,0,Kane Richardson Career Stats,Australia,Right arm Fast medium,Bowler
FC,34,63,7045,3505,102,5/69,9/124,34.36,2.98,69.0,7,1,0,Kane Richardson Career Stats,Australia,Right arm Fast medium,Bowler
List A,98,96,5176,4558,153,6/48,6/48,29.79,5.28,33.8,2,6,0,Kane Richardson Career Stats,Australia,Right arm Fast medium,Bowler
T20s,185,180,3851,5252,231,4/22,4/22,22.73,8.18,16.6,7,0,0,Kane Richardson Career Stats,Australia,Right arm Fast medium,Bowler
ODIs,96,96,5052,4641,165,5/35,5/35,28.12,5.51,30.6,11,1,0,Adam Zampa Career Stats,Australia,Legbreak Googly,Bowler
T20Is,74,73,1589,1856,82,5/19,5/19,22.63,7.0,19.3,0,1,0,Adam Zampa Career Stats,Australia,Legbreak Googly,Bowler
FC,40,70,8015,5215,111,6/62,10/119,46.98,3.9,72.2,3,2,1,Adam Zampa Career Stats,Australia,Legbreak Googly,Bowler
List A,141,140,7571,6803,236,5/35,5/35,28.82,5.39,32.0,14,1,0,Adam Zampa Career Stats,Australia,Legbreak Googly,Bowler
T20s,246,242,5233,6410,286,6/19,6/19,22.41,7.34,18.2,0,3,0,Adam Zampa Career Stats,Australia,Legbreak Googly,Bowler
Tests,25,42,4271,1987,47,3/51,6/116,42.27,2.79,90.8,0,0,0,Mitchell Santner Career Stats,Zealand,Slow Left arm Orthodox,Bowling Allrounder
ODIs,104,99,4875,3960,107,5/50,5/50,37.0,4.87,45.5,0,2,0,Mitchell Santner Career Stats,Zealand,Slow Left arm Orthodox,Bowling Allrounder
T20Is,90,89,1868,2206,100,4/11,4/11,22.06,7.08,18.6,2,0,0,Mitchell Santner Career Stats,Zealand,Slow Left arm Orthodox,Bowling Allrounder
FC,60,96,9458,4573,107,5/51,8/153,42.73,2.9,88.3,2,1,0,Mitchell Santner Career Stats,Zealand,Slow Left arm Orthodox,Bowling Allrounder
List A,134,127,6303,4978,144,5/50,5/50,34.56,4.73,43.7,1,2,0,Mitchell Santner Career Stats,Zealand,Slow Left arm Orthodox,Bowling Allrounder
T20s,178,175,3710,4349,182,4/11,4/11,23.89,7.03,20.3,2,0,0,Mitchell Santner Career Stats,Zealand,Slow Left arm Orthodox,Bowling Allrounder
Tests,96,182,21851,10827,374,7/64,10/108,28.94,2.97,58.4,19,15,1,Tim Southee Career Stats,Zealand,Right arm Medium fast,Bowler
ODIs,161,159,8075,7448,221,7/33,7/33,33.7,5.53,36.5,5,3,0,Tim Southee Career Stats,Zealand,Right arm Medium fast,Bowler
T20Is,114,112,2492,3402,144,5/18,5/18,23.62,8.19,17.3,1,2,0,Tim Southee Career Stats,Zealand,Right arm Medium fast,Bowler
FC,137,254,29237,14446,538,8/27,10/108,26.85,2.96,54.3,25,26,1,Tim Southee Career Stats,Zealand,Right arm Medium fast,Bowler
List A,176,174,8844,8112,241,7/33,7/33,33.65,5.5,36.6,5,3,0,Tim Southee Career Stats,Zealand,Right arm Medium fast,Bowler
T20s,251,247,5447,7473,299,6/16,6/16,24.99,8.23,18.2,1,3,0,Tim Southee Career Stats,Zealand,Right arm Medium fast,Bowler
Tests,17,28,2856,1725,51,5/31,6/85,33.82,3.62,56.0,2,1,0,Naseem Shah Career Stats,Pakistan,Right arm Fast,Bowler
ODIs,14,14,695,543,32,5/33,5/33,16.96,4.68,21.7,0,2,0,Naseem Shah Career Stats,Pakistan,Right arm Fast,Bowler
T20Is,19,19,427,520,15,2/7,2/7,34.66,7.3,28.4,0,0,0,Naseem Shah Career Stats,Pakistan,Right arm Fast,Bowler
FC,31,52,4659,2766,102,6/59,9/111,27.11,3.56,45.6,5,4,0,Naseem Shah Career Stats,Pakistan,Right arm Fast,Bowler
List A,19,16,785,621,34,5/33,5/33,18.26,4.74,23.0,0,2,0,Naseem Shah Career Stats,Pakistan,Right arm Fast,Bowler
T20s,88,88,1943,2506,87,5/20,5/20,28.8,7.73,22.3,2,1,0,Naseem Shah Career Stats,Pakistan,Right arm Fast,Bowler
Tests,26,-,-,-,-,-,-,-,-,-,-,-,-,Dinesh Karthik Career Stats,India,Right hand Bat,Right arm Offbreak
ODIs,94,-,-,-,-,-,-,-,-,-,-,-,-,Dinesh Karthik Career Stats,India,Right hand Bat,Right arm Offbreak
T20Is,60,1,6,18,0,-,-,-,18.00,-,0,0,0,Dinesh Karthik Career Stats,India,Right hand Bat,Right arm Offbreak
FC,167,-,120,130,0,-,-,-,6.50,-,0,0,0,Dinesh Karthik Career Stats,India,Right hand Bat,Right arm Offbreak
List A,260,-,0,0,0,-,-,-,-,-,0,0,0,Dinesh Karthik Career Stats,India,Right hand Bat,Right arm Offbreak
T20s,386,2,18,28,1,1/10,1/10,28.00,9.33,18.0,0,0,0,Dinesh Karthik Career Stats,India,Right hand Bat,Right arm Offbreak
Tests,2,2,78,42,0,-,-,-,3.23,-,0,0,0,Wessly Madhevere Career Stats,Zimbabwe,Right arm Offbreak,Allrounder
ODIs,36,28,806,683,13,3/36,3/36,52.53,5.08,62.0,0,0,0,Wessly Madhevere Career Stats,Zimbabwe,Right arm Offbreak,Allrounder
T20Is,60,35,396,465,13,2/8,2/8,35.76,7.04,30.4,0,0,0,Wessly Madhevere Career Stats,Zimbabwe,Right arm Offbreak,Allrounder
FC,24,35,2756,1448,54,7/105,7/105,26.81,3.15,51.0,0,2,0,Wessly Madhevere Career Stats,Zimbabwe,Right arm Offbreak,Allrounder
List A,63,53,1739,1392,36,4/28,4/28,38.66,4.8,48.3,1,0,0,Wessly Madhevere Career Stats,Zimbabwe,Right arm Offbreak,Allrounder
